molecule,odor
CCCCCCCCCOC(=O)CC1=CC=CC=C1,"SubString{String}[""citrus"", ""fatty"", ""honey"", ""waxy"", ""balsamic"", ""floral""]"
CCC(C)C(OCC)OCC,"SubString{String}[""apple"", ""ethereal"", ""green"", ""fruity"", ""fermented""]"
CC(C)OC(=O)C1=CC=CC=C1NC,"SubString{String}[""grape""]"
CCCCCCC(=O)OC1=CC=C(C=C1)C,"SubString{String}[""animal"", ""aromatic"", ""floral""]"
CCCCC(=O)C1=CC=CS1,"SubString{String}[""nutty"", ""caramellic"", ""roasted""]"
CC1=CSC(=N1)CC(C)C,"SubString{String}[""green"", ""vegetable"", ""leafy"", ""tomato""]"
CCCCOC(=O)C=CCCC,"SubString{String}[""green"", ""fruity"", ""apple"", ""banana""]"
CCCCCCCCCOC(=O)CCCCC,"SubString{String}[""fruity"", ""nutty"", ""winey"", ""ethereal""]"
CCOC(=S)C1=CC=CC=C1,"SubString{String}[""ripe"", ""fermented"", ""sulfurous"", ""cheesy""]"
CC1=CN=C(C(=N1)C)CC(C)C,"SubString{String}[""cocoa"", ""musk"", ""hazelnut"", ""animal"", ""mint""]"
CCCCCCCC(=O)OC(C)CCC,"SubString{String}[""green"", ""oily"", ""fruity"", ""fatty"", ""waxy"", ""winey""]"
C1CSSSS1,"SubString{String}[""sulfurous"", ""mushroom""]"
CCCCCCCC/C=C/CCCCCCCC(=O)O,"SubString{String}[""fatty""]"
CCCCCCOC(=O)/C(=C/C)/C,"SubString{String}[""green"", ""fruity"", ""fresh""]"
CC(=O)/C=C/C1=CC=CC=C1,"SubString{String}[""creamy"", ""fruity"", ""sweet"", ""coumarinic"", ""cheesy""]"
CCOC(=O)/C=C/C(=O)OCC,"SubString{String}[""green"", ""fruity"", ""herbal""]"
CCCC/C=C/CC,"SubString{String}[""gasoline""]"
CC[C@@H](C)CN,"SubString{String}[""ripe"", ""fishy"", ""cheesy""]"
COC1=CC=CC=C1/C=C/C=O,"SubString{String}[""spicy"", ""sweet"", ""warm""]"
C/C=C/C=C/C(=O)O,"SubString{String}[""odorless""]"
C/C=C\CO,"SubString{String}[""fruity"", ""gasoline"", ""sweet"", ""ethereal""]"
C1=CC=C2C(=C1)NC(=S)S2,"SubString{String}[""garlic"", ""sulfurous"", ""burnt""]"
COC1=CC=CC=C1/C=C/C(=O)O,"SubString{String}[""balsamic"", ""aromatic""]"
CC(=O)/C=C/C1=CC=CO1,"SubString{String}[""spicy"", ""vanilla"", ""cinnamon"", ""coumarinic"", ""warm"", ""woody"", ""sweet""]"
COC1=C(C=CC(=C1)[C@@H](C(=O)O)O)O,"SubString{String}[""vanilla"", ""sweet""]"
CC(=O)/C=C/C1=CC=C(C=C1)OC,"SubString{String}[""creamy"", ""floral"", ""sweet""]"
C1=CC=C2C=C(C=CC2=C1)NC(=O)CSCC3=NC4=CC=CC=C4N3,"SubString{String}[""ripe"", ""fruity"", ""tropical"", ""cabbage"", ""dairy"", ""cheesy""]"
C[C@H]1CC[C@@H]2[C@]13CC=C([C@H](C3)C2(C)C)C,"SubString{String}[""fatty"", ""tea"", ""woody"", ""sweet"", ""dry""]"
CC/C(=C/C1=CC=CC=C1)/C=O,"SubString{String}[""spicy"", ""oily"", ""warm"", ""herbal""]"
C1=COC(=C1)/C=C/C=O,"SubString{String}[""spicy"", ""cinnamon"", ""nutty"", ""fruity"", ""herbal""]"
CCCCCC/C(=C\C1=CC=CC=C1)/C=O,"SubString{String}[""jasmine"", ""floral"", ""sweet""]"
C/C=C\C1=CC(=C(C=C1)OCC2=CC=CC=C2)OC,"SubString{String}[""spicy"", ""balsamic"", ""floral""]"
CCCCCCCCCCOC(=O)CCCCCCCC,"SubString{String}[""oily"", ""fruity"", ""grape"", ""orange"", ""winey"", ""floral""]"
CC1COC(O1)CC(C)CCC=C(C)C,"SubString{String}[""green"", ""floral"", ""herbal""]"
CC1=CC(=C(C=C1)C)NC(=O)C(C)SC2=CC=CC=C2,"SubString{String}[""fatty"", ""fruity"", ""waxy""]"
CCOC(=O)CC=C(C)C,"SubString{String}[""apple"", ""green"", ""fruity"", ""strawberry"", ""berry""]"
CC1=CCC(C1(C)C)C(C)OC(=O)C,"SubString{String}[""fruity"", ""berry"", ""woody"", ""floral""]"
CC1C(=CCO1)SC2(CCOC2C)S,"SubString{String}[""meaty"", ""roasted""]"
CCOC(=O)C(C)SC,"SubString{String}[""fruity"", ""tropical""]"
CC(COC)C1=CC=CC=C1,"SubString{String}[""floral"", ""sharp""]"
CC(=O)C1NCCS1,"SubString{String}[""nutty"", ""fishy"", ""popcorn"", ""meaty""]"
CCCCCCCCC=CC(OCC)OCC,"SubString{String}[""fruity"", ""brandy"", ""citrus""]"
CCOC(CC(C)CCC=C(C)C)OCC,"SubString{String}[""green"", ""fatty"", ""lemon""]"
CCCCCCCCC=COC,"SubString{String}[""green"", ""fresh"", ""aldehydic"", ""citrus""]"
CCCCCCCCCCCCC(OCC)OCC,"SubString{String}[""fatty"", ""waxy"", ""citrus""]"
CC(C)CCOC(C)OCC(C)C,"SubString{String}[""alcoholic"", ""ethereal"", ""green"", ""nutty"", ""cognac""]"
CCC(C)CCCCCCCCCCC=O,"SubString{String}[""fatty"", ""beefy"", ""meaty""]"
CCCCCCCCCCCCCCCC(=O)OCCC(C)C,"SubString{String}[""fatty"", ""waxy""]"
CCC(C)C(=O)OCCC(=C)C,"SubString{String}[""green"", ""apple""]"
CC(C)CC(=O)OCCCSC,"SubString{String}[""sulfurous"", ""fruity"", ""tropical"", ""cheesy""]"
CCOC(CC(C)C)OCC(C)C,"SubString{String}[""alcoholic"", ""malty"", ""green"", ""cocoa"", ""fermented"", ""cognac""]"
CC(C)(C)CC(C)(CC(C)(C)C)S,"SubString{String}[""fatty"", ""sulfurous""]"
CCCCC(CC)C(=O)OCCC1=CC=CC=C1,"SubString{String}[""rose"", ""woody"", ""aromatic"", ""floral""]"
CCCCCCCCCCCCCC(=O)OCC(C)CC,"SubString{String}[""fatty"", ""waxy""]"
CCCCCC(=O)CCCC(=O)OCC,"SubString{String}[""fruity""]"
CCCCCC(C=C)OC(=O)C(C)C,"SubString{String}[""fruity"", ""mushroom""]"
CCC(C)C(=O)OCC=C,"SubString{String}[""green"", ""fruity"", ""oily"", ""tropical"", ""fermented"", ""waxy"", ""pineapple"", ""sweet""]"
CCC=CCCOC(=O)C(CC)CC,"SubString{String}[""green"", ""fruity"", ""apple""]"
CCCC(=O)OC1CC(CC(C1)(C)C)C,"SubString{String}[""mint"", ""fruity"", ""banana"", ""sweet""]"
CC(C)CCOC(C1=CC=CC=C1)OCCC(C)C,"SubString{String}[""fruity"", ""almond"", ""herbal"", ""cherry"", ""sweet""]"
CC(CC(=O)C)SCC1=CC=CO1,"SubString{String}[""meaty"", ""roasted"", ""burnt"", ""coffee"", ""chocolate""]"
CC/C(=C(/C)\C(=O)C)/C,"SubString{String}[""spicy"", ""ketonic""]"
CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1,"SubString{String}[""citrus"", ""fruity"", ""tropical"", ""woody"", ""balsamic"", ""floral"", ""sweet""]"
CC(=O)OC(C)(C)C=C,"SubString{String}[""green"", ""fruity"", ""banana"", ""tropical""]"
CCCCCCCCCCCCCCCC(=O)OCCCCC,"SubString{String}[""fatty"", ""waxy""]"
CC(=CCSC(=O)C)C,"SubString{String}[""green"", ""sulfurous"", ""fruity"", ""tropical""]"
CC(C)CCCCCCCCCC=O,"SubString{String}[""fatty"", ""waxy"", ""citrus""]"
CCCC(=O)OC(C)(C(=O)C)OC(=O)CCC,"SubString{String}[""cheesy"", ""buttery""]"
CC1=NC=CN=C1OC(C)C,"SubString{String}[""green"", ""fruity"", ""sweet""]"
CCCCCCC(CC)C=O,"SubString{String}[""orange""]"
CC1CCCC(=O)C1=O,"SubString{String}[""phenolic"", ""burnt"", ""caramellic"", ""coffee""]"
CCCCCCCC(=O)COC(=O)C,"SubString{String}[""fruity"", ""warm"", ""herbal""]"
CCC=C(C)C(=O)OC,"SubString{String}[""green"", ""fruity"", ""melon"", ""strawberry"", ""pineapple"", ""sweet""]"
CCCCCCCC(C)C=O,"SubString{String}[""citrus"", ""green"", ""milky"", ""waxy"", ""sweet""]"
C1CC(OC1)COC(=O)C=CC2=CC=CC=C2,"SubString{String}[""balsamic"", ""winey"", ""sweet"", ""spicy""]"
CCCCOC(=O)CC(=O)OCC,"SubString{String}[""green"", ""oily"", ""apple"", ""winey""]"
C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2,"SubString{String}[""balsamic"", ""floral"", ""sweet""]"
CC(=CCC/C(=C/C(=O)O)/C)C,"SubString{String}[""citrus"", ""green"", ""fruity"", ""fresh"", ""herbal"", ""woody"", ""floral""]"
CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C,"SubString{String}[""woody"", ""fruity"", ""floral""]"
C1=CC=C(C=C1)/C=C\CO,"SubString{String}[""balsamic"", ""floral"", ""sweet"", ""spicy""]"
COC1=C(C=CC(=C1)/C=C/C=O)O,"SubString{String}[""spicy"", ""vanilla"", ""balsamic"", ""cinnamon""]"
CC(=CCC/C(=C/CC/C(=C/C=O)/C)/C)C,"SubString{String}[""citrus"", ""oily"", ""woody"", ""sweet""]"
COC1=CC(=CC(=C1O)OC)/C=C/C=O,"SubString{String}[""spicy"", ""sweet""]"
C[C@@H]1CC=C([C@@H](C1(C)C)/C=C/C(=O)C)C,"SubString{String}[""violet"", ""sweet"", ""berry"", ""orris""]"
C/C(=C/CCC1(C2CC3C1(C3C2)C)C)/CO,"SubString{String}[""woody""]"
C/C=C/CC(=O)O,"SubString{String}[""green"", ""fruity"", ""cheesy""]"
CCC/C=C/CC(=O)O,"SubString{String}[""green"", ""fruity"", ""waxy"", ""dairy""]"
CC/C=C/CCC(=O)O,"SubString{String}[""green"", ""fatty"", ""fruity""]"
CCCCC/C=C\C(=O)O,"SubString{String}[""creamy"", ""fatty"", ""chicken"", ""waxy"", ""dairy"", ""musty""]"
CCCC/C=C/CC(=O)O,"SubString{String}[""green"", ""oily"", ""fruity"", ""fatty"", ""melon"", ""waxy"", ""dairy""]"
CCCCCC/C=C\C(=O)O,"SubString{String}[""green"", ""fatty""]"
CCCCC/C=C/CC(=O)O,"SubString{String}[""green"", ""fatty"", ""fruity"", ""melon"", ""waxy"", ""dairy""]"
CCCCCC/C=C/CC(=O)O,"SubString{String}[""green"", ""oily"", ""fatty"", ""fruity"", ""waxy""]"
CCCCC/C=C/CCC(=O)O,"SubString{String}[""oily"", ""fatty"", ""meaty"", ""savory""]"
CCCCCCCCC/C=C/C(=O)O,"SubString{String}[""green"", ""fatty"", ""fruity""]"
CCCCCCC/C=C/CCC(=O)O,"SubString{String}[""green"", ""fatty"", ""dairy""]"
CCCCCCCCCC/C=C/C(=O)O,"SubString{String}[""fatty"", ""waxy""]"
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,"SubString{String}[""fatty""]"
CC/C=C/CCC=O,"SubString{String}[""creamy"", ""green"", ""fatty"", ""melon""]"
CC/C=C/CCCCC=O,"SubString{String}[""green"", ""melon"", ""tropical"", ""fresh""]"
CCCCC/C=C/C/C=C/C=O,"SubString{String}[""fatty""]"
CCCCCCCC/C=C/CCCCCCCC=O,"SubString{String}[""meaty"", ""roasted"", ""fatty"", ""chicken""]"
CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O,"SubString{String}[""fatty"", ""fishy""]"
CCCCCCCCCCC(=O)C(=O)O,"SubString{String}[""creamy"", ""peach""]"
CC1=CCC(CC1)/C(=C/CC=C(C)C)/C,"SubString{String}[""citrus"", ""tropical"", ""woody"", ""balsamic"", ""floral"", ""sweet""]"
CCCCC/C=C/C(=O)C,"SubString{String}[""fruity"", ""nutty"", ""earthy"", ""waxy"", ""dairy"", ""mushroom"", ""cheesy""]"
CCC/C=C/CCO,"SubString{String}[""grassy"", ""green"", ""fresh"", ""herbal"", ""floral""]"
CC(C)[C@H]1CC[C@](C=C1)(C)O,"SubString{String}[""floral"", ""musty"", ""herbal""]"
CC(C)C(CCC(=O)C)/C=C/C(=C)C,"SubString{String}[""hay"", ""tobacco"", ""tea"", ""aromatic""]"
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,"SubString{String}[""oily"", ""fatty""]"
CC/C=C(\C)/C=O,"SubString{String}[""green"", ""fruity"", ""pungent""]"
CC(C)CC(=O)OCC1=CCC2CC1C2(C)C,"SubString{String}[""woody"", ""fruity"", ""herbal""]"
CCCSS/C=C/C,"SubString{String}[""onion"", ""nutty"", ""savory""]"
CC1CCC2(O1)C(=CC(=O)CC2(C)C)C,"SubString{String}[""tea"", ""floral""]"
CC(=CCC/C(=C/C(OC)OC)/C)C,"SubString{String}[""lemon"", ""citrus""]"
CC(=O)/C=C/C12C(CCCC1(O2)C)(C)C,"SubString{String}[""fruity"", ""violet"", ""orris"", ""woody"", ""floral"", ""sweet""]"
CCCCC/C=C(\CCCC)/C=O,"SubString{String}[""grassy"", ""citrus"", ""green"", ""fatty"", ""fruity"", ""aldehydic""]"
CC/C=C/CC(C)OC(=O)C,"SubString{String}[""green"", ""fruity""]"
C/C=C\CCCOC(=O)C,"SubString{String}[""green"", ""fruity"", ""banana""]"
CC/C=C\CCCCO,"SubString{String}[""green"", ""fruity"", ""melon"", ""mushroom""]"
CCC/C=C/1\C2=CC=CC=C2C(=O)O1,"SubString{String}[""herbal""]"
CCCCCC(=O)OCC/C=C/CC,"SubString{String}[""apple"", ""green"", ""fruity"", ""fatty"", ""pear""]"
CCC/C=C(\CC)/C=O,"SubString{String}[""apple"", ""fruity"", ""lemon""]"
CCOC1=C(C=C(C=C1)/C=C/C)O,"SubString{String}[""vanilla"", ""phenolic""]"
C/C=C/C(=O)OCCC1=CC=CC=C1,"SubString{String}[""rose"", ""herbal"", ""musty"", ""sweet"", ""dry""]"
C/C=C/C(=O)OC(C)C,"SubString{String}[""fruity"", ""apple"", ""chamomile"", ""sweet""]"
C/C=C/C(=O)OCC=C,"SubString{String}[""fruity"", ""fresh"", ""pungent""]"
C1=CC=C(C=C1)/C=C/COC=O,"SubString{String}[""apple"", ""fruity"", ""herbal"", ""balsamic""]"
C/C(=C/C1=CC=CC=C1)/C=O,"SubString{String}[""cinnamon"", ""spicy"", ""balsamic"", ""sweet""]"
CCCCCCCCC/C=C\C=O,"SubString{String}[""citrus"", ""fatty"", ""orange""]"
CC(C)/C=C\C=O,"SubString{String}[""apple"", ""green"", ""fresh"", ""aldehydic"", ""woody"", ""cognac""]"
CCCOC(=O)/C=C/C=C\C,"SubString{String}[""green"", ""fruity"", ""tropical"", ""fresh"", ""pineapple""]"
CCCCCOC(=O)/C=C/C1=CC=CC=C1,"SubString{String}[""balsamic"", ""cocoa"", ""floral"", ""sweet""]"
C/C(=C/C1=CC=CC=C1)/C(=O)C,"SubString{String}[""fruity"", ""caramellic"", ""sweet"", ""berry""]"
CCOC(/C=C/C1=CC=CC=C1)OCC,"SubString{String}[""green"", ""spicy"", ""fresh"", ""sweet""]"
CCCCCOC(=O)/C=C\C,"SubString{String}[""apple"", ""fruity"", ""fresh"", ""chamomile"", ""pungent""]"
C/C=C/C(=O)OCC1=CC=CC=C1,"SubString{String}[""spicy"", ""warm"", ""herbal""]"
C/C=C\C(=O)C,"SubString{String}[""spicy"", ""fruity"", ""fishy"", ""musty"", ""pungent""]"
CCCCCCC/C=C\C(=O)O,"SubString{String}[""fatty"", ""fruity"", ""waxy"", ""orange"", ""peach"", ""sweet""]"
C=C/C=C\C=O,"SubString{String}[""spicy"", ""green"", ""pungent""]"
CC1=CCCC(C1/C=C(/C)\C(=O)C)(C)C,"SubString{String}[""violet"", ""floral"", ""sweet"", ""orris""]"
CC1=C(C(CCC1)(C)C)/C=C(/C)\C(=O)C,"SubString{String}[""woody"", ""orris""]"
CCCCC/C=C\C,"SubString{String}[""gasoline""]"
CCCCCCCCOC(=O)/C=C\C,"SubString{String}[""fruity"", ""fresh"", ""herbal"", ""floral""]"
CCCCCCOC(=O)/C=C\C,"SubString{String}[""apple"", ""fruity"", ""pear"", ""woody"", ""pineapple""]"
CCOC(=O)/C(=C\C1=CC=CC=C1)/C(=O)C,"SubString{String}[""fruity"", ""spicy"", ""caramellic""]"
CC(C)C(=O)OC(C)(CC/C=C(/C)\CCC=C(C)C)C=C,"SubString{String}[""fruity"", ""pear"", ""woody"", ""sweet""]"
CCC/C=C/CCC,"SubString{String}[""gasoline""]"
CCCCCC/C=C\C(=O)OC,"SubString{String}[""green"", ""fatty"", ""coconut"", ""violet""]"
CCCC/C=C/C(C)O,"SubString{String}[""green"", ""earthy"", ""nutty"", ""melon"", ""mushroom""]"
CCCC/C=C/C(=O)OCC,"SubString{String}[""green"", ""fruity"", ""apple"", ""melon""]"
CCC(=O)/C=C\C,"SubString{String}[""spicy"", ""green"", ""tropical"", ""metallic"", ""horseradish"", ""pungent"", ""rum""]"
CCC(CC)C(=O)OC/C=C(\C)/CCC=C(C)C,"SubString{String}[""fruity"", ""apple""]"
CCCCC/C=C/C=C/C(=O)OCCC,"SubString{String}[""green"", ""fruity"", ""melon"", ""pear"", ""tropical"", ""waxy""]"
CC/C=C/CCC(=O)OCC,"SubString{String}[""green"", ""fruity"", ""melon"", ""waxy"", ""vegetable""]"
CC(C)CC(=O)OC/C=C(\C)/CCC=C(C)C,"SubString{String}[""fruity"", ""peach""]"
CC(=CC/C=C(/C)\CCO)C,"SubString{String}[""floral"", ""rose""]"
CC/C(=C\C)/C=O,"SubString{String}[""fruity"", ""pungent""]"
CC(C)/C=C/C(=O)C,"SubString{String}[""metallic"", ""berry"", ""cheesy""]"
CCC/C=C/CCOC(=O)C,"SubString{String}[""green"", ""fruity"", ""banana"", ""tropical"", ""berry"", ""sweet""]"
CCCC/C=C/C(=O)C,"SubString{String}[""earthy"", ""fruity"", ""mushroom""]"
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC,"SubString{String}[""oily"", ""sweet""]"
CCC/C=C\COC(=O)C,"SubString{String}[""green"", ""fruity"", ""tropical""]"
C/C=C(\C)/C1CCC(O1)(C)C,"SubString{String}[""citrus"", ""fresh"", ""camphoreous"", ""mint""]"
CC1=CCCC(C1/C=C/C(C)O)(C)C,"SubString{String}[""violet"", ""floral"", ""berry""]"
CCCCCC/C=C/C(=O)OCC,"SubString{String}[""green"", ""fruity"", ""fatty"", ""pear"", ""waxy"", ""pineapple""]"
CCCCCCCC/C=C/CCCCCCCC(=O)OCC,"SubString{String}[""oily"", ""sweet""]"
CCCCCCCC/C=C/C,"SubString{String}[""gasoline""]"
CCCC/C=C/CCO,"SubString{String}[""earthy"", ""fresh"", ""melon"", ""herbal""]"
CC/C(=C/CC/C(=C/C=O)/C)/C,"SubString{String}[""citrus"", ""fruity"", ""fresh"", ""lemon"", ""herbal""]"
CCC/C=C/C(=O)C,"SubString{String}[""grassy"", ""green"", ""fruity"", ""milky"", ""dairy"", ""sweet"", ""cheesy""]"
CCCC/C=C/C=C/CO,"SubString{String}[""green"", ""fatty"", ""melon"", ""chicken"", ""cucumber""]"
CCCCCC/C=C/CCCCCCCC(=O)OCC,"SubString{String}[""oily"", ""fatty""]"
CCOC(/C=C(\C)/CCC=C(C)C)OCC,"SubString{String}[""green"", ""fresh"", ""citrus""]"
CCCOC(=O)/C=C/C,"SubString{String}[""apple"", ""caramellic"", ""ethereal"", ""fruity"", ""chamomile""]"
CCOC/C=C(\C)/CCC=C(C)C,"SubString{String}[""spicy"", ""rose"", ""green"", ""floral""]"
C/C=C/C(=O)OC1CC(CCC1C(C)C)C,"SubString{String}[""fresh"", ""mint"", ""herbal""]"
CCC/C=C/COC(C)OCC,"SubString{String}[""apple"", ""green"", ""fruity"", ""sharp"", ""fresh"", ""vegetable""]"
C/C=C/SSC,"SubString{String}[""onion"", ""fresh"", ""pungent""]"
CCC/C=C/CCC(=O)OC,"SubString{String}[""green"", ""fruity""]"
CCCCC/C=C/C=C/C=C,"SubString{String}[""green"", ""herbal""]"
CC/C=C/CC1C(CCC1=O)CC(=O)OC,"SubString{String}[""floral"", ""jasmine""]"
CC/C=C/C(=O)OCC,"SubString{String}[""apple"", ""fruity"", ""banana"", ""tropical""]"
C/C=C(\C)/C(=O)OC/C=C/C1=CC=CC=C1,"SubString{String}[""balsamic"", ""floral"", ""sweet"", ""herbal""]"
CCCCC(=O)OC/C=C/C1=CC=CC=C1,"SubString{String}[""floral"", ""rose"", ""herbal""]"
C/C=C/C=C/C(=O)OC(C)C,"SubString{String}[""green"", ""fruity"", ""tropical""]"
CCOC(/C=C/C=C/C)OCC,"SubString{String}[""green"", ""tropical""]"
CCC/C=C/C(=O)CC,"SubString{String}[""fruity"", ""coconut"", ""mushroom""]"
CCCCOC(=O)/C=C/C=C/C,"SubString{String}[""green"", ""fruity"", ""waxy"", ""tropical""]"
CC(=C/C=C/C(=O)C)C,"SubString{String}[""cinnamon"", ""spicy"", ""nutty""]"
C1=CC=C(C=C1)CC(=O)OC/C=C/C2=CC=CC=C2,"SubString{String}[""honey"", ""balsamic"", ""floral"", ""sweet""]"
CC1=CC=C(C=C1)/C=C/C=O,"SubString{String}[""cinnamon"", ""vanilla"", ""fruity"", ""balsamic"", ""sweet""]"
CC1=C(C(CCC1)(C)C)/C=C/C(C)O,"SubString{String}[""fruity"", ""violet"", ""berry"", ""woody"", ""floral""]"
CCC(=O)OC/C=C\C=C\C,"SubString{String}[""fruity"", ""pineapple"", ""sweet"", ""winey""]"
C/C=C/C=C\COC(=O)C(C)C,"SubString{String}[""fruity"", ""pineapple"", ""sweet"", ""tropical""]"
CCCC/C(=C\C1=CC=CC=C1)/C=O,"SubString{String}[""green"", ""fruity"", ""jasmine"", ""herbal"", ""floral""]"
C/C=C/C(=O)OCCC(C)C,"SubString{String}[""apple"", ""fruity"", ""sharp"", ""chamomile"", ""rum""]"
COC(/C=C/C1=CC=CC=C1)OC,"SubString{String}[""spicy"", ""green"", ""cinnamon"", ""fresh"", ""herbal""]"
CCCC(=O)/C=C/C,"SubString{String}[""citrus"", ""earthy"", ""nutty"", ""herbal"", ""pungent""]"
CCCCC/C=C\CCC(=O)OCC,"SubString{String}[""floral"", ""fruity"", ""pear"", ""strawberry"", ""pineapple"", ""peach""]"
CCC(=O)OC(C)C(=O)OSC,"SubString{String}[""sulfurous"", ""fruity"", ""tropical""]"
CCOC(=O)C(C)/C=C/C,"SubString{String}[""green"", ""fruity"", ""melon"", ""strawberry"", ""pineapple"", ""sweet""]"
CCCCCCC/C=C/C(=O)OCC,"SubString{String}[""apple"", ""citrus"", ""green"", ""fruity"", ""pear"", ""waxy""]"
CCCCCCC/C=C/C(=O)OCCCC,"SubString{String}[""apricot"", ""green"", ""fruity"", ""milky"", ""coconut"", ""waxy"", ""peach""]"
CCCCC/C=C/CC/C=C/C=O,"SubString{String}[""fatty"", ""waxy"", ""citrus"", ""melon""]"
CC/C=C/CCOC(C)OCC,"SubString{String}[""grassy"", ""radish"", ""green"", ""fruity"", ""vegetable"", ""musty""]"
CCCCC/C=C/CCCO,"SubString{String}[""fruity"", ""fatty"", ""earthy"", ""melon"", ""waxy"", ""herbal"", ""cucumber""]"
C1=CC=C(C=C1)/C=C/COC(=O)C2=CC=CC=C2,"SubString{String}[""balsamic"", ""sweet"", ""spicy""]"
CC1=C(C(CCC1)(C)C)/C=C/C(C)OC(=O)C,"SubString{String}[""woody"", ""fruity""]"
CCCCC/C(=C\C1=CC=CC=C1)/C(OCC)OCC,"SubString{String}[""green"", ""leafy"", ""floral"", ""jasmine""]"
CCCCC(CC)/C=C/C(=O)O,"SubString{String}[""oily"", ""fatty""]"
CCCCC/C(=C\C1=CC=CC=C1)/C(OC)OC,"SubString{String}[""green"", ""floral"", ""jasmine""]"
CC/C=C/CCOC(=O)C1=CC=CC=C1O,"SubString{String}[""green"", ""woody"", ""balsamic"", ""floral"", ""sweet""]"
C/C=C/C1=CC(=C(C=C1)OC(=O)CC2=CC=CC=C2)OC,"SubString{String}[""honey"", ""vanilla"", ""sweet""]"
CCOC(/C=C/C)OCC,"SubString{String}[""ethereal"", ""fruity"", ""sharp"", ""herbal"", ""pungent""]"
C1COC(O1)/C=C/C2=CC=CC=C2,"SubString{String}[""cinnamon"", ""spicy"", ""sweet""]"
CC/C=C/CCOC=O,"SubString{String}[""green"", ""fruity"", ""apple"", ""sharp""]"
CCOC(=O)C/C(=C/C(=O)O)/C(=O)O,"SubString{String}[""caramellic"", ""fruity"", ""winey"", ""sweet"", ""rum""]"
CC/C=C/CCCCCOC(=O)C,"SubString{String}[""green"", ""fatty"", ""melon"", ""pear"", ""waxy""]"
CC/C=C/C/C=C/C=C/C(=O)OCC,"SubString{String}[""green"", ""pear""]"
CCCCCCCCCC(=O)OCC/C=C/CC,"SubString{String}[""green"", ""fruity"", ""fatty"", ""waxy""]"
CC/C=C/CCOC(=O)CCC(=O)C,"SubString{String}[""apple"", ""caramellic"", ""green"", ""fruity"", ""earthy""]"
CCC/C=C/COC(=O)C(C)O,"SubString{String}[""green"", ""tropical"", ""fresh"", ""waxy"", ""leafy""]"
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC,"SubString{String}[""oily"", ""fatty""]"
CCCCC/C=C/C=C/C(=O)C,"SubString{String}[""fatty""]"
CC(=C)[C@@H]1CCC(=C)[C@H](C1)O,"SubString{String}[""mint"", ""citrus"", ""herbal""]"
CC1=C(N=C2CCCC2=N1)C,"SubString{String}[""roasted"", ""earthy"", ""nutty"", ""burnt""]"
CSCC/C=C(\CSC)/C=O,"SubString{String}[""meaty"", ""cabbage"", ""vegetable"", ""potato"", ""sweet""]"
C/C=C/C1=CC(=C(C=C1)OC(=O)CC(C)C)OC,"SubString{String}[""spicy"", ""fruity"", ""herbal"", ""woody"", ""aromatic"", ""sweet""]"
CSSSCC1=CC=CO1,"SubString{String}[""pungent"", ""coffee"", ""roasted""]"
CC1C(=O)C=CO1,"SubString{String}[""caramellic"", ""roasted"", ""nutty"", ""bread"", ""sweet"", ""buttery""]"
C/C=C(/C=O)\C1=CC=CC=C1,"SubString{String}[""cocoa"", ""honey"", ""musty"", ""floral""]"
CCOC1=C(C=C(C=C1)CC=C)OC,"SubString{String}[""spicy"", ""warm"", ""herbal"", ""tea"", ""musty"", ""sweet""]"
CCOC(=O)C(C)(C1=CC=CC=C1)O,"SubString{String}[""creamy"", ""vanilla"", ""sweet""]"
CCC1=C(SC=C1)CC,"SubString{String}[""onion"", ""meaty"", ""roasted""]"
CCCCCCC/C=C/CCC=O,"SubString{String}[""fishy"", ""citrus""]"
CCCCC/C=C/CCCCC=O,"SubString{String}[""fatty"", ""waxy"", ""citrus""]"
CCC/C=C/CCCCCCC=O,"SubString{String}[""fatty"", ""waxy"", ""citrus""]"
CCCCCOC(=O)/C(=C/C)/C,"SubString{String}[""fruity"", ""floral"", ""sweet"", ""herbal""]"
C/C=C/CCCCCCCC=O,"SubString{String}[""citrus"", ""waxy"", ""orange"", ""sweet""]"
CC(=CCC/C(=C/C(C=O)O)/C)C,"SubString{String}[""green"", ""floral"", ""sweet"", ""herbal""]"
C/C=C(\C)/CO,"SubString{String}[""alcoholic"", ""green"", ""fruity"", ""earthy"", ""herbal"", ""winey""]"
CCC/C=C/C=C/CCCO,"SubString{String}[""citrus"", ""waxy"", ""orange"", ""floral""]"
CCC/C=C\CC(=O)O,"SubString{String}[""green"", ""fruity"", ""waxy"", ""dairy""]"
CC(=CCC/C(=C\CC[C@@](C)(C=C)OC(=O)C)/C)C,"SubString{String}[""woody"", ""fresh""]"
CCCCCCC(=O)OCC/C=C/CC,"SubString{String}[""green"", ""fruity"", ""fatty"", ""tropical"", ""waxy""]"
